student_id,name,class,subject,marks
S00001,Liya,9,Biology,47
S00002,Jack,10,Biology,64
S00003,Qadir,12,Biology,53
S00004,Liya,10,Physics,86
S00005,Om,10,Biology,32
S00006,Nisha,10,Chemistry,82
S00007,Karan,11,Science,58
S00008,Qadir,9,Biology,73
S00009,Charlie,12,Physics,78
S00010,Alice,11,Science,64
S00011,Alice,10,Chemistry,64
S00012,Diana,12,Physics,72
S00013,Qadir,11,Computer,77
S00014,Priya,11,Science,31
S00015,Eva,11,Math,43
S00016,Diana,11,Chemistry,62
S00017,Charlie,9,Biology,74
S00018,Qadir,10,English,89
S00019,Priya,11,Chemistry,72
S00020,Alice,11,Science,62
S00021,Liya,9,Chemistry,34
S00022,Alice,11,Science,78
S00023,Grace,11,Physics,91
S00024,Grace,9,Physics,48
S00025,Liya,12,Physics,44
S00026,Jack,10,Math,48
S00027,Eva,9,Physics,55
S00028,Manoj,10,Physics,79
S00029,Diana,11,Biology,96
S00030,Frank,12,Math,37
S00031,Priya,9,Chemistry,57
S00032,Priya,10,Physics,56
S00033,Eva,10,Physics,94
S00034,Om,11,English,80
S00035,Riya,11,Math,64
S00036,Liya,11,Science,94
S00037,Charlie,9,English,49
S00038,Qadir,9,Computer,43
S00039,Henry,10,Science,85
S00040,Henry,12,Math,79
S00041,Nisha,11,Computer,59
S00042,Qadir,12,Math,77
S00043,Manoj,11,Physics,38
S00044,Diana,11,Biology,75
S00045,Ivy,11,Math,88
S00046,Jack,10,Biology,67
S00047,Grace,12,Chemistry,60
S00048,Riya,12,Chemistry,69
S00049,Om,11,Math,44
S00050,Henry,11,Physics,45
S00051,Riya,9,Chemistry,94
S00052,Karan,12,Chemistry,86
S00053,Ivy,10,Science,44
S00054,Henry,9,Physics,45
S00055,Tara,10,Physics,80
S00056,Frank,10,Computer,55
S00057,Grace,12,Math,66
S00058,Alice,10,Computer,50
S00059,Charlie,11,English,44
S00060,Qadir,12,English,47
S00061,Riya,10,Math,36
S00062,Priya,9,Chemistry,61
S00063,Sanjay,9,Physics,49
S00064,Alice,11,Math,43
S00065,Grace,10,Computer,96
S00066,Jack,12,Biology,94
S00067,Alice,10,Biology,94
S00068,Charlie,9,Biology,99
S00069,Om,10,Biology,61
S00070,Diana,10,Biology,42
S00071,Om,10,Math,99
S00072,Jack,9,Science,81
S00073,Diana,10,Computer,68
S00074,Ivy,9,Chemistry,83
S00075,Alice,12,Math,50
S00076,Tara,9,Computer,32
S00077,Riya,10,Physics,30
S00078,Qadir,9,English,35
S00079,Nisha,12,Math,45
S00080,Alice,11,Science,52
S00081,Karan,11,Chemistry,59
S00082,Jack,9,Chemistry,67
S00083,Eva,12,Science,75
S00084,Charlie,12,Science,32
S00085,Diana,10,English,84
S00086,Alice,12,Science,58
S00087,Frank,12,Science,80
S00088,Charlie,12,Physics,71
S00089,Om,11,Chemistry,56
S00090,Charlie,10,Biology,95
S00091,Alice,9,Math,57
S00092,Qadir,10,Chemistry,82
S00093,Eva,10,Physics,68
S00094,Om,11,Science,51
S00095,Frank,11,Computer,39
S00096,Manoj,11,Computer,82
S00097,Bob,12,Computer,37
S00098,Tara,11,Chemistry,80
S00099,Ivy,9,Physics,37
S00100,Ivy,11,Chemistry,93
S00101,Frank,9,Math,88
S00102,Diana,11,Computer,86
S00103,Diana,9,Math,82
S00104,Grace,9,Computer,51
S00105,Alice,9,Science,51
S00106,Manoj,11,Science,93
S00107,Henry,12,Chemistry,46
S00108,Henry,10,Physics,43
S00109,Karan,11,English,70
S00110,Qadir,11,Biology,31
S00111,Alice,9,Physics,45
S00112,Frank,9,English,84
S00113,Henry,9,Physics,48
S00114,Charlie,10,Math,66
S00115,Priya,12,Computer,30
S00116,Om,11,Math,33
S00117,Priya,9,Computer,57
S00118,Diana,12,English,51
S00119,Frank,9,Chemistry,53
S00120,Bob,11,Biology,57
S00121,Karan,11,Computer,66
S00122,Liya,11,Biology,59
S00123,Riya,11,Science,98
S00124,Ivy,12,Math,74
S00125,Ivy,12,English,34
S00126,Om,10,Science,81
S00127,Eva,11,Biology,30
S00128,Nisha,12,Science,42
S00129,Manoj,11,Math,81
S00130,Nisha,12,Chemistry,55
S00131,Liya,9,Science,81
S00132,Tara,10,English,54
S00133,Diana,10,Physics,76
S00134,Eva,10,Chemistry,97
S00135,Diana,9,Computer,46
S00136,Manoj,12,Science,79
S00137,Liya,9,Science,94
S00138,Manoj,9,Computer,89
S00139,Ivy,12,Math,77
S00140,Liya,12,Science,45
S00141,Karan,9,Computer,39
S00142,Bob,9,Science,34
S00143,Frank,10,Science,61
S00144,Qadir,9,Chemistry,68
S00145,Riya,12,Science,92
S00146,Nisha,10,Biology,74
S00147,Liya,12,English,65
S00148,Jack,11,Science,30
S00149,Charlie,11,Math,48
S00150,Om,9,Computer,47
S00151,Alice,11,Biology,48
S00152,Charlie,11,Biology,84
S00153,Ivy,10,Computer,46
S00154,Frank,10,Biology,57
S00155,Karan,10,Chemistry,41
S00156,Liya,12,Computer,80
S00157,Om,11,Physics,84
S00158,Diana,12,English,76
S00159,Sanjay,12,English,77
S00160,Charlie,9,Chemistry,78
S00161,Diana,9,Math,97
S00162,Karan,12,Biology,99
S00163,Jack,10,Science,89
S00164,Diana,11,Chemistry,50
S00165,Bob,12,Science,85
S00166,Sanjay,9,Science,54
S00167,Charlie,12,Biology,35
S00168,Om,9,Math,34
S00169,Eva,11,Physics,56
S00170,Grace,12,English,87
S00171,Karan,9,English,78
S00172,Priya,11,Computer,43
S00173,Jack,11,Chemistry,76
S00174,Om,10,Chemistry,73
S00175,Diana,12,Physics,30
S00176,Karan,11,Computer,83
S00177,Riya,9,English,64
S00178,Alice,10,Chemistry,54
S00179,Frank,10,Computer,90
S00180,Henry,11,Math,47
S00181,Priya,12,Physics,62
S00182,Charlie,11,Biology,40
S00183,Bob,12,Physics,40
S00184,Charlie,9,Physics,61
S00185,Riya,9,Chemistry,89
S00186,Manoj,9,Chemistry,65
S00187,Jack,9,Science,83
S00188,Manoj,11,Chemistry,67
S00189,Henry,12,English,99
S00190,Qadir,11,Physics,43
S00191,Manoj,12,Chemistry,79
S00192,Henry,12,Physics,82
S00193,Liya,11,English,35
S00194,Diana,12,Biology,100
S00195,Karan,12,Computer,51
S00196,Bob,11,English,30
S00197,Charlie,12,Computer,97
S00198,Manoj,11,English,53
S00199,Diana,11,Biology,33
S00200,Frank,10,English,54
S00201,Frank,9,Physics,39
S00202,Qadir,12,Biology,30
S00203,Karan,10,Science,31
S00204,Nisha,11,Physics,83
S00205,Charlie,11,Physics,74
S00206,Grace,10,Math,90
S00207,Grace,12,Physics,55
S00208,Karan,11,Computer,85
S00209,Eva,11,Computer,69
S00210,Charlie,9,Computer,53
S00211,Nisha,9,Biology,48
S00212,Tara,11,English,84
S00213,Qadir,12,Biology,81
S00214,Frank,9,Science,48
S00215,Bob,9,English,45
S00216,Liya,9,Biology,50
S00217,Priya,10,English,75
S00218,Diana,9,Chemistry,30
S00219,Karan,9,Physics,30
S00220,Bob,11,English,90
S00221,Alice,11,Biology,78
S00222,Tara,12,Chemistry,87
S00223,Jack,11,Chemistry,61
S00224,Om,9,Chemistry,56
S00225,Diana,12,Math,53
S00226,Riya,10,Computer,58
S00227,Manoj,12,Chemistry,60
S00228,Manoj,12,Science,67
S00229,Manoj,12,Math,78
S00230,Liya,12,Computer,74
S00231,Alice,11,Math,47
S00232,Charlie,9,Chemistry,92
S00233,Diana,9,Chemistry,64
S00234,Manoj,9,English,30
S00235,Diana,9,Physics,58
S00236,Sanjay,9,English,65
S00237,Grace,11,Biology,56
S00238,Sanjay,12,Science,96
S00239,Charlie,9,Math,49
S00240,Om,10,Math,49
S00241,Tara,9,Biology,97
S00242,Tara,12,Chemistry,60
S00243,Riya,11,Chemistry,83
S00244,Diana,9,Science,44
S00245,Qadir,12,Science,75
S00246,Nisha,10,English,40
S00247,Grace,12,Math,79
S00248,Priya,9,Science,45
S00249,Diana,10,Chemistry,96
S00250,Qadir,11,Math,71
S00251,Om,9,Science,33
S00252,Qadir,9,English,97
S00253,Karan,12,Computer,51
S00254,Jack,10,Biology,67
S00255,Eva,10,Science,46
S00256,Grace,10,Science,90
S00257,Nisha,10,Math,99
S00258,Diana,9,Computer,68
S00259,Henry,10,Math,54
S00260,Charlie,11,Chemistry,73
S00261,Eva,10,Chemistry,55
S00262,Henry,10,Physics,96
S00263,Karan,11,Biology,91
S00264,Karan,10,Computer,43
S00265,Charlie,11,Physics,92
S00266,Alice,10,Math,59
S00267,Henry,10,Math,52
S00268,Karan,12,Math,69
S00269,Diana,9,Science,95
S00270,Eva,11,Math,95
S00271,Liya,12,Chemistry,46
S00272,Liya,9,Science,66
S00273,Liya,9,Physics,66
S00274,Qadir,10,Physics,50
S00275,Frank,12,Physics,97
S00276,Henry,12,Math,35
S00277,Jack,9,Math,77
S00278,Grace,10,Biology,69
S00279,Frank,9,Computer,63
S00280,Sanjay,11,Science,62
S00281,Ivy,9,Physics,60
S00282,Bob,11,Computer,94
S00283,Priya,10,Physics,47
S00284,Priya,12,Science,36
S00285,Frank,11,Computer,79
S00286,Liya,9,Science,60
S00287,Ivy,9,Computer,82
S00288,Liya,9,Computer,37
S00289,Grace,9,Physics,98
S00290,Tara,9,English,37
S00291,Henry,11,Chemistry,90
S00292,Alice,10,Science,84
S00293,Jack,10,Physics,62
S00294,Nisha,10,Biology,77
S00295,Sanjay,9,English,35
S00296,Sanjay,9,Physics,48
S00297,Eva,12,Computer,58
S00298,Liya,10,Physics,78
S00299,Frank,9,Math,72
S00300,Charlie,9,English,61
S00301,Sanjay,11,Chemistry,56
S00302,Diana,12,Computer,51
S00303,Sanjay,10,Chemistry,32
S00304,Frank,9,Biology,92
S00305,Qadir,11,English,61
S00306,Diana,12,Chemistry,70
S00307,Eva,11,Physics,30
S00308,Grace,12,Physics,96
S00309,Bob,12,Chemistry,98
S00310,Charlie,10,Computer,90
S00311,Charlie,9,Math,68
S00312,Liya,12,English,76
S00313,Bob,9,Math,56
S00314,Bob,9,Biology,54
S00315,Liya,9,English,42
S00316,Diana,10,Physics,52
S00317,Riya,12,English,56
S00318,Sanjay,12,Science,46
S00319,Frank,10,Physics,63
S00320,Diana,9,Biology,47
S00321,Nisha,9,English,95
S00322,Frank,12,Math,94
S00323,Eva,9,Physics,46
S00324,Henry,9,Math,44
S00325,Charlie,10,Physics,58
S00326,Karan,12,Chemistry,32
S00327,Henry,9,Biology,69
S00328,Priya,9,Chemistry,65
S00329,Manoj,10,English,100
S00330,Qadir,9,Computer,51
S00331,Manoj,11,Math,95
S00332,Tara,12,Physics,73
S00333,Henry,11,Chemistry,60
S00334,Nisha,10,Computer,60
S00335,Priya,9,Science,34
S00336,Frank,9,Math,82
S00337,Karan,11,Biology,85
S00338,Priya,11,Math,66
S00339,Grace,10,Biology,50
S00340,Eva,9,English,91
S00341,Liya,9,Chemistry,88
S00342,Priya,9,Computer,81
S00343,Henry,10,Physics,72
S00344,Riya,11,Physics,85
S00345,Diana,10,Chemistry,79
S00346,Riya,11,Biology,67
S00347,Bob,11,Physics,73
S00348,Sanjay,10,Computer,39
S00349,Qadir,12,Computer,39
S00350,Liya,10,Physics,80
S00351,Liya,12,Science,49
S00352,Charlie,11,Math,93
S00353,Bob,10,Chemistry,88
S00354,Jack,10,Computer,100
S00355,Ivy,12,Physics,55
S00356,Riya,10,Math,42
S00357,Liya,9,Math,90
S00358,Frank,9,Physics,38
S00359,Diana,11,Computer,57
S00360,Charlie,10,Math,44
S00361,Henry,11,Science,69
S00362,Riya,12,Biology,73
S00363,Charlie,10,Science,95
S00364,Henry,11,Physics,37
S00365,Karan,10,Chemistry,42
S00366,Sanjay,11,Math,83
S00367,Priya,10,Math,81
S00368,Priya,11,Physics,37
S00369,Manoj,9,Chemistry,55
S00370,Qadir,9,Science,55
S00371,Qadir,10,English,74
S00372,Karan,11,Biology,87
S00373,Grace,10,Computer,54
S00374,Grace,10,Math,75
S00375,Sanjay,12,Physics,67
S00376,Henry,10,Biology,75
S00377,Grace,12,Science,72
S00378,Tara,12,Physics,57
S00379,Nisha,10,Physics,92
S00380,Jack,11,Science,65
